;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR
2880;Middlesbrough;Derby;4;0;H;1;0;H;13;6;8;3;8;14;4;5;0;4;0;0
2881;Newcastle;Coventry;3;1;H;1;0;H;11;12;6;5;6;9;2;7;0;3;0;0
2884;Ipswich;Leicester;2;0;H;0;0;D;22;6;9;3;14;10;8;1;1;1;0;0
2885;Chelsea;Ipswich;4;1;H;1;1;D;23;5;10;2;11;12;11;1;3;0;0;1
2891;Man United;Aston Villa;2;0;H;0;0;D;12;5;7;3;10;19;7;3;1;2;0;0
2896;Arsenal;Bradford;2;0;H;2;0;H;20;6;8;2;12;14;6;3;1;2;0;0
2897;Charlton;Derby;2;1;H;1;1;D;13;6;9;3;13;14;9;3;2;1;0;0
2898;Chelsea;Newcastle;3;1;H;1;1;D;14;4;4;2;12;19;7;2;1;3;0;0
2900;Leeds;Coventry;1;0;H;0;0;D;11;3;6;1;18;19;9;2;4;5;0;0
2902;Southampton;Leicester;1;0;H;0;0;D;10;6;5;3;14;12;3;3;0;3;0;0
2907;Derby;Sunderland;1;0;H;1;0;H;9;17;3;5;16;18;3;4;7;3;0;0
2909;Leicester;Chelsea;2;1;H;1;0;H;10;8;5;4;7;13;2;7;0;1;0;0
2910;Liverpool;West Ham;3;0;H;2;0;H;14;8;10;3;9;6;5;3;0;1;0;1
2911;Man United;Everton;1;0;H;0;0;D;8;5;1;1;8;11;2;5;0;2;0;0
2915;Arsenal;Ipswich;1;0;H;0;0;D;17;5;10;3;16;15;11;3;2;1;0;0
2918;Everton;Leicester;2;1;H;2;0;H;9;9;6;2;12;7;7;2;3;2;0;0
2921;Southampton;Bradford;2;0;H;0;0;D;12;4;6;1;9;16;8;0;0;1;0;0
2923;Charlton;Newcastle;2;0;H;2;0;H;11;5;4;3;10;12;4;11;2;1;0;0
2927;Derby;Aston Villa;1;0;H;1;0;H;9;19;5;7;9;10;1;9;1;1;0;0
